"","x"
"223","Bachelor of Mathematics Education/Master of Education at University of Wollongong"
"224","Bachelor of Health and Physical Education/Master of Education at University of Wollongong"
"225","Bachelor of Secondary Education at University of Notre Dame Australia"
"226","Bachelor of Primary Education at University of Notre Dame Australia"
"227","B Engineering Studies M Teaching in Secondary Education (TAS - Computing/Mathematics) at UTS"
"228","Bachelor of Education Primary at Charles Darwin University, Batchelor campus"
"229","Bachelor of Education (Secondary Music) at University of New England"
"230","Bachelor of Education (Secondary Mathematics) at University of New England"
"231","Bachelor of Education (Secondary Science) at University of New England"
"232","Bachelor of Bus in Hotel Management at Southern Cross University, The Hotel School, Brisbane (DFEE)"
"233","Bachelor of Bus in Hotel Management at Southern Cross University, The Hotel School, Sydney (DFEE)"
"234","Bachelor of Education (Technology/Secondary) at Southern Cross University, Coffs Harbour campus"
"235","Bachelor of Education (Technology/Secondary) at Southern Cross University, Gold Coast campus"
"236","Bachelor of Education (Technology/Secondary) at Southern Cross University, Lismore campus"
"237","Bachelor of Educational Studies at La Trobe University"
"238","Bachelor of Education (Secondary) at La Trobe University"
"239","Bachelor of Education (Primary) at La Trobe University"
"240","B Dance Practice at Australian College of Physical Education (DFEE)"
"241","Bachelor of Applied Fitness at Australian College of Physical Education (DFEE)"
"242","Bachelor of Health and Movement at Australian College of Physical Education (DFEE)"
"243","Diploma in Arts Extended - Pathway to Teaching B-5/B-12 at Western Sydney, The College"
"244","UG Cert in Special and Inclusive Support in Education- University of Newcastle, Ourimah campus"
"245","UG Cert in Special and Inclusive Support in Education- University of Newcastle, Callaghan campus"
"246","Undergraduate Certificate in Special and Inclusive Support in Education - at University of Newcastle"
"247","Undergraduate Certificate in Teacher Preparation - at University of Newcastle, Callaghan campus"
"248","Undergraduate Certificate in Teacher Preparation at University of Newcastle, Ourimbah campus"
"249","Undergraduate Certificate in Teacher Preparation at University of Newcastle, Callaghan campus"
"250","Diploma of Applied Fitness at Australian College of Physical Education (DFEE)"
"251","Ass Deg of Software Engineering (Game Programming) at Media Design School at TUA (DFEE)"
"252","Ass Deg of Software Engineering (Cloud Computing) at Media Design School at TUA (DFEE)"
"253","Ass Deg of Software Engineering (Artificial Intelligence) at Media Design School at TUA (DFEE)"
"254","Associate Degree of Games Design and Development at Media Design School at TUA (DFEE)"
"255","Bachelor of Primary Education (Dean's Scholar) at University of Wollongong"
"256","Bachelor of Education - The Early Years (Dean's Scholar) at University of Wollongong"
"257","Bachelor of Science Education (Dean's Scholar) at University of Wollongong"
"258","Bachelor of Mathematics Education (Dean's Scholar) at University of Wollongong"
"259","Bachelor of Health and Physical Education (Dean's Scholar) at University of Wollongong"
"260","B Communication (Creative Writing)M Teaching in Secondary Ed (English/Society & Culture) at UTS"
